school_distances_m,hospital_distances_m,transit_distances_m,competitor_distances_m,Outlet_ID
"[1556.0, 1407.7, 1877.9, 1247.0, 1343.6]",[],[],"[1898.4, 1930.9, 1773.9, 1808.0, 562.8, 1401.6, 1719.4]",OUT_00001
[758.1],[],[],[1545.8],OUT_00002
[],[],[],[1931.5],OUT_00003
[],[],[],[],OUT_00004
"[826.6, 1613.3, 1355.3, 1163.3]",[1086.7],[1254.1],"[1221.0, 901.3, 953.3, 1056.9]",OUT_00005
[1979.9],[],"[1591.2, 1515.8, 1548.5, 1616.9, 1641.3]",[],OUT_00006
[],[],[],[],OUT_00007
[],[],[],[],OUT_00008
[1235.4],[],[],[],OUT_00009
"[1474.1, 718.3, 1232.2, 1958.3, 1817.6, 1790.2, 1481.2, 1675.3, 1703.3, 1736.4, 1151.9, 1569.4, 1698.4, 1436.5, 1009.4, 1064.5, 1186.1, 1242.9, 1047.5, 933.5, 1526.6, 1441.6, 1166.4, 1224.5, 1277.8, 1950.5, 1788.0, 1760.4, 1818.0, 1548.3, 1007.8, 812.5, 551.0, 1142.2, 1508.7, 377.9, 1809.3, 1908.5, 1780.0, 1011.0, 436.6, 1714.6, 1757.2, 1408.5, 1615.6, 1240.7, 764.7, 1054.2, 719.9, 1928.4, 1481.6, 766.1, 1931.2, 890.8, 1474.0, 1008.0, 1052.6, 1065.9, 1561.5, 1386.0, 1207.6, 1637.2, 1521.8, 1398.9, 1473.5, 473.4, 1403.0, 1409.6, 1751.6, 1922.0, 1468.4]","[1957.1, 742.6, 828.5, 1183.0, 1415.6, 1886.6, 1158.5, 1204.9, 863.7, 1127.8, 831.9, 1484.4, 667.0, 1584.7, 1037.5, 1294.8]","[1730.8, 1801.8, 1750.8, 1476.5, 369.0, 595.4, 551.8, 720.1, 439.5, 757.4, 477.7, 827.6, 658.5, 430.0, 1390.3, 477.0, 288.8, 1650.7, 1823.3, 1055.0, 450.1, 788.0, 448.5, 1512.6, 1208.3, 1713.8, 1854.0, 1829.3, 1893.1, 697.3, 1386.8, 1935.8, 1669.2, 1539.2, 1683.9, 1438.7, 1705.3, 1904.1, 1471.2, 1159.2, 1718.7, 688.4, 943.0, 453.8, 813.6, 1308.4, 926.5, 1429.6, 1946.4, 1497.0, 664.1, 358.1, 1593.4, 1601.0, 1477.1, 1446.8, 1422.9, 1401.4, 1431.4, 1477.7, 1664.1, 1674.0, 1886.7, 1880.9, 1694.2, 1618.5, 1479.3, 588.6, 1540.2, 1109.5, 1956.4, 1875.3, 1783.4, 178.4, 1867.0, 1144.8, 1150.2]","[1117.2, 1213.6, 1237.6, 1289.1, 1612.1, 1372.6, 1721.3, 580.6, 1282.3, 932.9, 1171.1, 759.6, 1149.4, 712.8, 1738.6, 1399.4, 1552.2, 702.0, 1246.9, 1142.3, 930.1, 1374.9, 1640.7, 1756.5, 1346.6, 1338.2, 1339.6, 597.9, 1870.3, 1445.8, 857.6, 1877.9, 941.2, 1382.1, 1414.1, 954.4, 1257.1, 860.6, 1373.9]",OUT_00010
[],[],[],"[1993.5, 1987.8]",OUT_00011
[],[],[],[],OUT_00012
[],[],"[774.3, 1484.2, 1182.3, 1024.5, 574.9, 1093.6, 1494.2, 1983.3, 551.1, 1750.6, 494.2, 1110.1, 1367.4, 1109.3, 1658.7, 629.6, 1498.0, 1951.1]","[1048.1, 1043.5, 875.8]",OUT_00013
"[897.8, 1395.0, 1752.3, 1867.5, 858.6, 1169.9, 1054.3, 1028.8]",[1840.5],"[1982.5, 1889.4, 1249.9]",[],OUT_00014
[1982.5],[],[],[],OUT_00015
[],[],[],[],OUT_00016
"[1945.9, 1753.9, 1512.4, 1276.5, 1099.0, 824.5]",[],"[1247.9, 1534.7, 1622.6, 1821.1, 1871.5]","[1092.0, 1238.1, 1159.8]",OUT_00017
[],[],[],[],OUT_00018
[],[],[],[],OUT_00019
[],[933.1],[],[],OUT_00020
[1672.6],[],[],[734.9],OUT_00021
[1536.8],[1057.0],[],[1757.0],OUT_00022
"[739.3, 1594.7, 1135.3]",[1505.3],[],"[1065.3, 1032.5, 1572.7, 1964.2, 1735.2]",OUT_00023
[1244.7],[],[],[1274.9],OUT_00024
[],[],[],[],OUT_00025
"[486.1, 1174.5, 1647.5, 498.5, 1596.9, 1891.9, 1447.7, 1123.3, 1795.4, 1006.6, 603.9, 922.8, 1637.0, 895.4, 801.5, 861.1, 1396.9, 1907.2, 619.7, 883.8, 1973.3, 1665.8, 1187.2, 834.8, 839.1, 1126.7, 1589.5, 1944.3, 1861.4, 1584.3, 1289.4, 1084.7, 1033.6, 87.5, 85.9, 833.4, 1228.9, 1199.1]","[860.2, 1322.9, 1272.7, 1742.2]","[1236.8, 1406.5, 1089.4, 892.0, 842.4, 440.7, 227.2, 419.9, 988.3, 1004.7, 2001.3, 817.9, 801.0, 861.7, 1716.9, 1713.8, 254.2, 893.6, 951.0, 1949.1, 1870.8, 1824.9, 1668.3, 1677.6, 1384.4, 1371.6, 849.3, 390.7, 1867.3, 1948.5, 1832.3, 1959.5, 1058.0, 1026.7, 1410.8, 1908.0]","[374.7, 1394.0, 1431.1, 1925.0, 889.8, 1841.1, 1371.5, 1875.2, 1287.8, 1315.8, 1852.2, 1541.4, 1023.7, 1057.3, 297.4, 1449.6, 864.6, 1067.3, 970.3, 1196.3, 1245.2, 432.8, 322.9, 534.0, 1097.6, 1395.7, 1371.3, 1153.1, 1666.5, 1125.9, 286.9, 753.8, 1035.8, 361.0, 1169.7, 1323.2, 787.3, 1130.9]",OUT_00026
[],[],[],[],OUT_00027
[],[],[],[],OUT_00028
"[1708.0, 1548.8, 540.8, 543.8, 1226.2, 1067.4, 1226.4, 1984.6, 1581.2, 1648.7, 552.5, 1847.1, 1901.0, 1435.6, 1304.2, 679.6]","[1754.0, 865.2, 687.0, 1126.4]","[1809.4, 1794.3, 1485.9, 1777.8, 1368.7, 1788.3, 1884.6, 1921.7, 1851.7, 1788.4, 1643.1, 1170.7, 1530.3, 1093.0, 844.9, 977.3, 1150.3, 1285.1, 1482.8]","[1788.2, 1422.4, 1488.2, 1594.2, 1592.3, 1667.3, 1270.3, 1767.6, 1688.6, 1509.2, 1885.3, 1917.4, 700.9]",OUT_00029
[],[],[],[],OUT_00030
[],[],[],[],OUT_00031
[1382.3],[],"[934.0, 974.4, 1135.1, 1188.1, 1891.2, 1591.6, 1991.5, 1462.1, 1690.1, 1013.2, 1003.9, 1360.4, 951.7, 1548.0, 959.2, 1963.6, 599.9]",[],OUT_00032
[],[],[1578.4],[],OUT_00033
